policy,sequence,fold,total_events,detected_events,sampled_frames,total_frames,event_recall,mean_detection_delay_sec,energy_mj,transmitted_frames,mean_selected_fps
Fixed-1-FPS,uav0000086_00000_v,1,41,19,19,464,0.4634146341463415,0.23157894736842108,283.18,19,1.0
Fixed-5-FPS,uav0000086_00000_v,1,41,40,93,464,0.975609756097561,0.08900000000000001,1024.6599999999999,93,5.0
Fixed-10-FPS,uav0000086_00000_v,1,41,40,186,464,0.975609756097561,0.034999999999999996,1956.52,186,10.0
Fixed-20-FPS,uav0000086_00000_v,1,41,40,371,464,0.975609756097561,0.007000000000000001,3810.2200000000003,371,20.0
Visual-Threshold,uav0000086_00000_v,1,41,40,88,464,0.975609756097561,0.088,974.56,88,5.193181818181818
Edge-AI-Adaptive,uav0000086_00000_v,1,41,40,185,464,0.975609756097561,0.034999999999999996,1946.5,185,9.972972972972974
Fixed-1-FPS,uav0000117_02622_v,2,30,18,14,349,0.6,0.17777777777777778,210.08,14,1.0
Fixed-5-FPS,uav0000117_02622_v,2,30,30,70,349,1.0,0.08800000000000002,771.1999999999999,70,5.0
Fixed-10-FPS,uav0000117_02622_v,2,30,30,140,349,1.0,0.03066666666666667,1472.6,140,10.0
Fixed-20-FPS,uav0000117_02622_v,2,30,30,279,349,1.0,0.008,2865.38,279,20.0
Visual-Threshold,uav0000117_02622_v,2,30,26,85,349,0.8666666666666667,0.08,921.5,85,10.129411764705882
Edge-AI-Adaptive,uav0000117_02622_v,2,30,30,134,349,1.0,0.03333333333333333,1412.48,134,9.776119402985074
Fixed-1-FPS,uav0000137_00458_v,3,34,15,10,233,0.4411764705882353,0.18666666666666665,146.79999999999998,10,1.0
Fixed-5-FPS,uav0000137_00458_v,3,34,33,47,233,0.9705882352941176,0.07757575757575758,517.5400000000001,47,5.0
Fixed-10-FPS,uav0000137_00458_v,3,34,34,94,233,1.0,0.029411764705882353,988.48,94,10.0
Fixed-20-FPS,uav0000137_00458_v,3,34,34,187,233,1.0,0.007058823529411764,1920.34,187,20.0
Visual-Threshold,uav0000137_00458_v,3,34,34,90,233,1.0,0.047058823529411764,948.4,90,13.78888888888889
Edge-AI-Adaptive,uav0000137_00458_v,3,34,34,100,233,1.0,0.02588235294117647,1048.6,100,11.2
Fixed-1-FPS,uav0000182_00000_v,4,80,35,15,363,0.4375,0.21371428571428572,222.90000000000003,15,1.0
Fixed-5-FPS,uav0000182_00000_v,4,80,79,73,363,0.9875,0.0830379746835443,804.0600000000001,73,5.0
Fixed-10-FPS,uav0000182_00000_v,4,80,80,146,363,1.0,0.0295,1535.52,146,10.0
Fixed-20-FPS,uav0000182_00000_v,4,80,80,291,363,1.0,0.0055,2988.42,291,20.0
Visual-Threshold,uav0000182_00000_v,4,80,77,262,363,0.9625,0.007792207792207793,2697.8399999999997,262,19.603053435114504
Edge-AI-Adaptive,uav0000182_00000_v,4,80,80,106,363,1.0,0.0595,1134.7199999999998,106,9.481132075471699
Fixed-1-FPS,uav0000268_05773_v,5,40,22,40,978,0.55,0.2618181818181819,596.4,40,1.0
Fixed-5-FPS,uav0000268_05773_v,5,40,40,196,978,1.0,0.088,2159.52,196,5.0
Fixed-10-FPS,uav0000268_05773_v,5,40,40,391,978,1.0,0.041,4113.42,391,10.0
Fixed-20-FPS,uav0000268_05773_v,5,40,40,782,978,1.0,0.007000000000000001,8031.240000000001,782,20.0
Visual-Threshold,uav0000268_05773_v,5,40,22,40,978,0.55,0.2618181818181819,596.4,40,1.0
Edge-AI-Adaptive,uav0000268_05773_v,5,40,40,196,978,1.0,0.088,2159.52,196,5.0
Fixed-1-FPS,uav0000305_00000_v,6,24,8,8,184,0.3333333333333333,0.25,116.96000000000001,8,1.0
Fixed-5-FPS,uav0000305_00000_v,6,24,24,37,184,1.0,0.07166666666666667,407.54,37,5.0
Fixed-10-FPS,uav0000305_00000_v,6,24,24,74,184,1.0,0.03333333333333333,778.28,74,10.0
Fixed-20-FPS,uav0000305_00000_v,6,24,24,147,184,1.0,0.01,1509.74,147,20.0
Visual-Threshold,uav0000305_00000_v,6,24,21,45,184,0.875,0.09142857142857143,487.7,45,13.733333333333333
Edge-AI-Adaptive,uav0000305_00000_v,6,24,24,58,184,1.0,0.03666666666666667,617.9599999999999,58,12.0
Fixed-1-FPS,uav0000339_00001_v,7,17,12,11,275,0.7058823529411765,0.31,165.22,11,1.0
Fixed-5-FPS,uav0000339_00001_v,7,17,17,55,275,1.0,0.09411764705882353,606.1,55,5.0
Fixed-10-FPS,uav0000339_00001_v,7,17,17,110,275,1.0,0.03058823529411765,1157.2,110,10.0
Fixed-20-FPS,uav0000339_00001_v,7,17,17,220,275,1.0,0.014117647058823528,2259.4,220,20.0
Visual-Threshold,uav0000339_00001_v,7,17,11,31,275,0.6470588235294118,0.18545454545454546,365.62,31,7.516129032258065
Edge-AI-Adaptive,uav0000339_00001_v,7,17,17,220,275,1.0,0.014117647058823528,2259.4,220,20.0
